domain,has_https,domain_age_years,ssl_valid,ssl_issuer,redirect_count,page_load_time_sec,server_location,server_response_code,ads_density_score,external_links_count,social_media_presence,contact_info_available,privacy_policy_exists,terms_of_service_exists,whois_privacy_enabled,domain_registrar,content_update_frequency,mobile_responsive,security_headers_score,tls_version,certificate_type,hosting_type,cdn_used,javascript_obfuscation_score,popups_present,malware_flag_score,domain_age_bucket
mayo.edu,True,151,True,GlobalSign,0,1.4,USA,200,0.03,35,high,True,True,True,False,CSC Corporate,hourly,False,96,TLS1.3,OV,enterprise,yes,3,no,0,legacy
theguardian.com,True,93,True,Amazon,1,1.0,USA,200,0.1,68,high,True,True,True,False,Verisign,daily,True,89,TLS1.3,OV,cloud,yes,13,no,0,established
bbc.com.co,True,7,True,Cloudflare,1,6.1,Offshore,200,0.95,111,low,True,False,False,True,Namecheap,daily,False,39,none,self_signed,cloud,no,28,no,26,new
nature.com,True,175,True,InCommon,0,1.1,USA,200,0.32,58,high,True,True,True,False,GoDaddy,hourly,True,94,TLS1.2,EV,enterprise,yes,5,no,0,legacy
rt.com,True,8,True,Let's Encrypt,1,4.4,Offshore,200,0.41,211,low,False,False,True,True,GoDaddy,irregular,True,40,TLS1.2,none,shared,yes,22,yes,0,new
bipartisanreport.com,True,13,True,none,3,2.5,Offshore,200,0.52,151,low,False,True,True,False,eNom,irregular,True,67,TLS1.2,none,offshore,no,55,no,0,growing
apnews.com,True,114,True,GlobalSign,0,1.9,Canada,200,0.04,36,high,True,True,True,False,Network Solutions,daily,True,96,TLS1.3,EV,cloud,yes,3,no,0,legacy
abcnews.com.co,False,3,False,none,2,4.9,USA,200,0.61,106,medium,False,False,False,True,GoDaddy,irregular,False,74,none,self_signed,cloud,no,61,no,79,new
nypost.com,True,22,False,none,4,1.9,USA,200,0.68,102,none,False,False,True,True,GoDaddy,weekly,True,15,TLS1.0,DV,shared,no,66,no,0,growing
zerohedge.com,True,17,True,Let's Encrypt,5,5.2,Offshore,200,0.7,165,medium,True,False,False,True,Namecheap,weekly,False,10,none,DV,shared,yes,81,no,0,growing
mercola.com,True,6,False,none,1,10.0,Offshore,200,0.93,167,low,False,False,False,True,Unknown,irregular,False,72,TLS1.2,DV,shared,yes,54,yes,26,new
infowars.com,True,35,False,none,1,5.3,UK,200,0.75,135,medium,False,False,False,True,Unknown,daily,False,27,TLS1.3,DV,shared,no,95,yes,28,established
dailywire.com,True,18,False,none,0,2.8,Offshore,200,0.9,185,none,False,False,False,True,Namecheap,daily,True,34,TLS1.2,OV,shared,no,36,no,74,growing
wsj.com,True,14,True,GlobalSign,0,0.9,USA,200,0.28,27,high,True,True,True,False,CSC Corporate,daily,False,94,TLS1.3,OV,enterprise,no,5,no,0,growing
thegatewaypundit.com,True,27,True,Let's Encrypt,5,4.0,Offshore,200,0.62,99,low,True,False,False,True,Namecheap,weekly,False,77,none,none,cloud,no,85,yes,0,established
nytimes.com,True,78,True,Let's Encrypt,1,1.1,UK,200,0.38,31,high,True,True,True,False,Verisign,hourly,True,90,TLS1.3,DV,cloud,yes,17,no,0,established
cam.ac.uk,True,22,True,GlobalSign,1,0.7,USA,200,0.3,65,medium,True,False,True,False,Network Solutions,hourly,True,87,TLS1.3,DV,enterprise,yes,17,no,0,growing
activistpost.com,True,14,True,Let's Encrypt,2,5.2,Offshore,200,0.49,171,medium,False,False,False,True,GoDaddy,daily,True,12,TLS1.2,self_signed,cloud,no,65,yes,14,growing
wikipedia.org,True,15,True,DigiCert,1,0.8,USA,200,0.23,37,high,True,True,True,True,Network Solutions,daily,True,94,TLS1.2,OV,enterprise,yes,5,no,0,growing
cam.ac.uk,True,46,True,InCommon,0,1.2,UK,200,0.04,55,high,True,True,True,False,CSC Corporate,weekly,True,87,TLS1.3,OV,cloud,yes,9,no,0,established
newspunch.com,True,52,True,GeoTrust,2,5.8,UK,200,0.99,172,medium,False,False,False,True,GoDaddy,irregular,True,75,TLS1.2,self_signed,shared,no,24,yes,12,established
naturalnews.com,True,10,True,Cloudflare,1,4.5,USA,200,0.76,103,low,False,False,False,True,GoDaddy,daily,False,59,TLS1.0,DV,cloud,no,57,yes,15,new
bbc.com,True,69,True,DigiCert,1,0.8,France,200,0.11,43,high,True,True,True,True,Network Solutions,daily,True,82,TLS1.3,OV,enterprise,yes,15,no,0,established
nasa.gov,True,65,True,InCommon,2,0.6,UK,200,0.3,54,high,True,True,True,False,Network Solutions,daily,True,89,TLS1.3,OV,enterprise,yes,19,no,0,established
naturalnews.com,True,47,False,Cloudflare,2,3.0,USA,200,0.6,114,none,False,False,False,True,GoDaddy,irregular,True,32,TLS1.3,DV,cloud,no,47,yes,17,established
globalresearch.ca,True,22,True,none,1,9.3,USA,200,0.71,152,low,False,True,True,False,eNom,weekly,True,36,TLS1.3,none,offshore,no,76,yes,24,growing
dailymail.co.uk,False,12,False,none,3,6.7,Russia,200,0.49,113,medium,True,True,True,True,Namecheap,irregular,False,45,TLS1.2,DV,cloud,no,28,yes,0,growing
abcnews.com.co,True,8,True,self-signed,1,4.5,Russia,200,0.56,114,none,False,False,False,True,Namecheap,weekly,False,28,TLS1.3,none,cloud,no,72,yes,13,new
cam.ac.uk,True,81,True,DigiCert,0,0.7,Canada,200,0.02,61,medium,True,True,True,False,MarkMonitor,daily,True,94,TLS1.3,OV,enterprise,yes,8,no,0,established
dailymail.co.uk,True,3,True,Let's Encrypt,4,4.6,USA,200,0.94,64,none,False,False,True,True,GoDaddy,irregular,False,70,TLS1.2,self_signed,shared,no,78,no,18,new
mercola.com,True,17,True,none,2,1.5,Offshore,200,0.78,180,low,False,False,True,True,eNom,daily,False,20,TLS1.2,DV,shared,yes,76,yes,0,growing
bloomberg.com,True,173,True,InCommon,1,0.5,France,200,0.37,51,medium,True,True,True,False,CSC Corporate,daily,True,85,TLS1.3,DV,cloud,yes,13,no,0,legacy
cnn.com,True,199,True,InCommon,2,1.9,Canada,200,0.05,61,high,True,True,True,False,MarkMonitor,daily,True,83,TLS1.2,OV,cloud,yes,2,no,0,legacy
davidwolfe.com,True,37,False,Let's Encrypt,4,6.0,Offshore,200,0.99,72,none,False,False,False,False,Unknown,irregular,False,38,TLS1.2,none,offshore,no,50,no,10,established
occupydemocrats.com,False,6,False,none,1,3.7,Offshore,200,0.39,148,low,True,False,False,False,GoDaddy,irregular,False,38,TLS1.2,DV,cloud,yes,29,yes,79,new
thedailysheeple.com,True,3,True,Let's Encrypt,2,5.7,Offshore,200,0.56,158,none,False,False,False,True,GoDaddy,irregular,False,77,TLS1.2,self_signed,shared,yes,22,yes,26,new
cnn.com,True,91,True,DigiCert,0,2.0,USA,200,0.43,17,high,True,True,True,False,MarkMonitor,daily,True,83,TLS1.2,EV,enterprise,yes,18,no,0,established
conservativetribune.com,True,21,False,Let's Encrypt,0,3.6,Offshore,200,0.86,136,low,True,False,True,True,GoDaddy,daily,False,60,TLS1.2,self_signed,offshore,yes,25,yes,9,growing
globalresearch.ca,True,13,True,Cloudflare,3,3.0,USA,200,0.99,51,medium,False,True,False,True,GoDaddy,irregular,False,26,TLS1.0,DV,cloud,no,47,yes,0,growing
nytimes.com,True,59,True,GlobalSign,0,0.5,Canada,200,0.38,20,high,False,True,True,False,CSC Corporate,daily,True,89,TLS1.3,OV,cloud,yes,2,no,0,established
rt.com,False,23,False,none,0,1.5,Offshore,200,0.99,190,low,True,True,True,True,GoDaddy,irregular,True,75,TLS1.2,DV,shared,no,66,no,78,growing
wakingtimes.com,False,4,False,none,0,5.7,USA,200,0.87,108,medium,False,False,False,True,Namecheap,daily,True,32,TLS1.1,DV,cloud,yes,64,yes,37,new
sciencemag.org,True,181,True,InCommon,2,1.2,UK,200,0.18,22,medium,True,True,True,False,Network Solutions,daily,True,83,TLS1.2,EV,cloud,yes,16,no,0,legacy
beforeitsnews.com,True,23,False,none,3,6.8,USA,200,0.72,115,low,False,False,False,True,Namecheap,weekly,True,37,TLS1.0,DV,shared,no,67,no,0,growing
britannica.com,True,123,True,Amazon,1,1.9,UK,200,0.08,18,medium,True,True,True,False,MarkMonitor,hourly,True,84,TLS1.3,EV,cloud,yes,13,no,0,legacy
who.int,True,92,True,DigiCert,2,0.8,Germany,200,0.07,27,high,True,True,True,False,Network Solutions,daily,True,89,TLS1.2,OV,enterprise,yes,19,no,0,established
theguardian.com,True,134,True,GlobalSign,0,0.9,USA,200,0.03,27,high,True,False,True,False,CSC Corporate,daily,True,98,TLS1.3,EV,cloud,yes,6,no,0,legacy
washingtonpost.com,True,82,True,Amazon,0,1.4,USA,200,0.13,17,high,True,True,True,False,Network Solutions,daily,True,89,TLS1.3,EV,cloud,yes,15,no,0,established
stanford.edu,True,16,True,DigiCert,0,1.6,USA,200,0.12,22,medium,True,True,True,False,MarkMonitor,hourly,True,83,TLS1.3,EV,enterprise,yes,3,no,0,growing
dailybuzzlive.com,False,36,False,none,0,3.3,Canada,200,0.94,219,none,False,True,True,True,OVH,irregular,False,77,TLS1.3,DV,cloud,no,71,yes,0,established
sciencemag.org,True,19,True,Let's Encrypt,0,1.2,UK,200,0.02,16,high,True,True,True,False,MarkMonitor,weekly,True,96,TLS1.2,EV,enterprise,yes,14,no,0,growing
beforeitsnews.com,False,14,False,none,2,2.1,Canada,200,0.54,131,low,True,False,False,True,GoDaddy,weekly,False,28,TLS1.1,DV,shared,yes,72,no,13,growing
fda.gov,True,8,True,Amazon,1,1.7,USA,200,0.34,16,high,True,True,True,False,CSC Corporate,daily,True,89,TLS1.3,OV,enterprise,no,5,no,0,new
sciencemag.org,True,30,True,DigiCert,0,0.8,Switzerland,200,0.02,19,high,True,True,True,True,GoDaddy,hourly,True,90,TLS1.3,EV,enterprise,yes,14,no,0,established
apnews.com,True,115,True,Let's Encrypt,0,0.7,USA,200,0.1,54,high,True,True,True,False,MarkMonitor,hourly,True,84,TLS1.3,EV,cloud,yes,15,no,0,legacy
abcnews.com.co,True,7,True,GeoTrust,5,5.0,UK,200,0.85,61,low,False,False,True,True,Namecheap,irregular,False,12,TLS1.2,DV,cloud,no,83,no,39,new
infowars.com,True,46,False,none,0,5.9,Offshore,200,0.85,140,medium,False,False,False,True,GoDaddy,irregular,True,55,TLS1.2,none,shared,no,23,yes,3,established
newspunch.com,True,2,True,self-signed,0,6.3,Russia,200,0.83,212,medium,False,False,True,True,Namecheap,irregular,False,29,TLS1.0,none,shared,no,97,no,38,new
bloomberg.com,True,32,True,GlobalSign,1,0.9,UK,200,0.34,50,high,True,True,True,False,Network Solutions,daily,True,93,TLS1.3,OV,cloud,no,12,no,0,established
fda.gov,True,45,True,InCommon,0,0.9,USA,200,0.08,29,high,True,True,True,False,MarkMonitor,daily,True,86,TLS1.2,EV,cloud,yes,17,no,0,established
thegatewaypundit.com,True,13,True,GeoTrust,1,6.2,UK,200,0.25,137,low,True,False,False,True,Namecheap,weekly,False,46,TLS1.2,DV,offshore,no,68,yes,7,growing
gov.uk,True,69,True,DigiCert,2,2.0,UK,200,0.1,58,high,True,True,True,False,CSC Corporate,daily,True,93,TLS1.3,EV,cloud,yes,8,no,0,established
